Timestamp,Namespace,Pod,Container,CPU (millicores),Memory (MB)
2024-11-23T18:37:42.611529,argocd,argocd-repo-server-767cbc7fdb-cdgf7,repo-server,0.934351,54.23828125
2024-11-23T18:37:42.611646,argocd,argocd-server-858f464b75-j92hs,server,0.355941,43.69921875
2024-11-23T18:37:57.703781,argocd,argocd-application-controller-0,application-controller,3.522061,151.82421875
2024-11-23T18:37:57.705352,argocd,argocd-applicationset-controller-74947d8b5d-rbl48,applicationset-controller,0.29188,43.109375
2024-11-23T18:37:57.705738,argocd,argocd-dex-server-5fcbfd4684-4ksmf,dex-server,0.060006,97.82421875
2024-11-23T18:37:57.705953,argocd,argocd-notifications-controller-5f75c4656d-l55ml,notifications-controller,0.194604,36.7265625
2024-11-23T18:37:57.706139,argocd,argocd-redis-7855f78d87-9vqnb,redis,0.951466,11.1953125
2024-11-23T18:37:57.706315,argocd,argocd-repo-server-767cbc7fdb-cdgf7,repo-server,0.710388,54.23828125
2024-11-23T18:37:57.706484,argocd,argocd-server-858f464b75-j92hs,server,0.425506,43.69921875
2024-11-23T18:38:12.805441,argocd,argocd-application-controller-0,application-controller,3.890188,151.8203125
2024-11-23T18:38:12.806015,argocd,argocd-applicationset-controller-74947d8b5d-rbl48,applicationset-controller,0.240139,43.109375
2024-11-23T18:38:12.806294,argocd,argocd-dex-server-5fcbfd4684-4ksmf,dex-server,0.054662,97.82421875
2024-11-23T18:38:12.806515,argocd,argocd-notifications-controller-5f75c4656d-l55ml,notifications-controller,0.194604,36.7265625
2024-11-23T18:38:12.806774,argocd,argocd-redis-7855f78d87-9vqnb,redis,1.002697,11.44140625
2024-11-23T18:38:12.806977,argocd,argocd-repo-server-767cbc7fdb-cdgf7,repo-server,0.710388,54.23828125
2024-11-23T18:38:12.807201,argocd,argocd-server-858f464b75-j92hs,server,0.227901,43.69921875
2024-11-23T18:38:27.872074,argocd,argocd-application-controller-0,application-controller,3.014549,151.8203125
2024-11-23T18:38:27.872552,argocd,argocd-applicationset-controller-74947d8b5d-rbl48,applicationset-controller,0.82509,43.109375
2024-11-23T18:38:27.872784,argocd,argocd-dex-server-5fcbfd4684-4ksmf,dex-server,0.02669,97.82421875
2024-11-23T18:38:27.872989,argocd,argocd-notifications-controller-5f75c4656d-l55ml,notifications-controller,0.111439,36.7265625
2024-11-23T18:38:27.873189,argocd,argocd-redis-7855f78d87-9vqnb,redis,1.079042,10.9453125
2024-11-23T18:38:27.873376,argocd,argocd-repo-server-767cbc7fdb-cdgf7,repo-server,0.421814,54.234375
2024-11-23T18:38:27.873554,argocd,argocd-server-858f464b75-j92hs,server,0.300398,43.69921875
2024-11-23T18:38:42.941504,argocd,argocd-application-controller-0,application-controller,2.754734,151.8203125
2024-11-23T18:38:42.942032,argocd,argocd-applicationset-controller-74947d8b5d-rbl48,applicationset-controller,0.250331,43.109375
2024-11-23T18:38:42.942348,argocd,argocd-dex-server-5fcbfd4684-4ksmf,dex-server,0.046594,97.82421875
2024-11-23T18:38:42.942613,argocd,argocd-notifications-controller-5f75c4656d-l55ml,notifications-controller,0.073629,36.7265625
2024-11-23T18:38:42.942822,argocd,argocd-redis-7855f78d87-9vqnb,redis,0.98018,11.1953125
2024-11-23T18:38:42.943018,argocd,argocd-repo-server-767cbc7fdb-cdgf7,repo-server,0.421814,54.234375
2024-11-23T18:38:42.943205,argocd,argocd-server-858f464b75-j92hs,server,0.242832,43.69921875
2024-11-23T18:38:58.032190,argocd,argocd-application-controller-0,application-controller,3.075072,151.8203125
2024-11-23T18:38:58.032509,argocd,argocd-applicationset-controller-74947d8b5d-rbl48,applicationset-controller,0.239387,43.109375
